source_iri	canonical_iri	kind	class	swap	neg
http://honk.org/src#wn.verb_communication	http://honk.org/canon#CommunicationVerb	pos	nonidentity		
http://honk.org/src#wn.verb_competition	http://honk.org/canon#CompetitionVerb	pos	nonidentity		
http://honk.org/src#wn.verb_consumption	http://honk.org/canon#ConsumptionVerb	pos	nonidentity		
http://honk.org/src#wn.verb_contact	http://honk.org/canon#ContactVerb	pos	nonidentity		
http://honk.org/src#wn.verb_creation	http://honk.org/canon#MaterialisationVerb	pos	nonidentity		
http://honk.org/src#wn.verb_emotion	http://honk.org/canon#EmotionVerb	pos	nonidentity		
http://honk.org/src#wn.verb_motion	http://honk.org/canon#MotionVerb	pos	nonidentity		
http://honk.org/src#wn.verb_perception	http://honk.org/canon#PerceptionVerb	pos	nonidentity		
http://honk.org/src#wn.verb_possession	http://honk.org/canon#PossessionVerb	pos	nonidentity		
http://honk.org/src#wn.verb_social	http://honk.org/canon#SocialVerb	pos	nonidentity		
http://honk.org/src#wn.verb_stative	http://honk.org/canon#StativeVerb	pos	nonidentity		
http://honk.org/src#wn.verb_weather	http://honk.org/canon#WeatherVerb	pos	nonidentity		
http://honk.org/src#wn.adj_ppl	http://honk.org/canon#ParticipleAdjective	pos	nonidentity		
http://honk.org/src#wn.idiom	http://honk.org/canon#Idiom	pos	identity		
